범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계,
범죄, 범죄, 불취학, 초등학교(소계), 초등학교(소계), 초등학교(소계), 초등학교(소계), 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 고등학교(소계), 고등학교(소계), 고등학교(소계), 고등학교(소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학원(소계), 대학원(소계), 대학원(소계), 대학원(소계), 기타, 미상, 불취학, 초등학교(소계), 초등학교(소계), 초등학교(소계), 초등학교(소계), 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 고등학교(소계), 고등학교(소계), 고등학교(소계), 고등학교(소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학원(소계), 대학원(소계), 대학원(소계), 대학원(소계), 기타, 미상, 불취학, 초등학교(소계), 초등학교(소계), 초등학교(소계), 초등학교(소계), 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 고등학교(소계), 고등학교(소계), 고등학교(소계), 고등학교(소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학원(소계), 대학원(소계), 대학원(소계), 대학원(소계), 기타, 미상, 불취학, 초등학교(소계), 초등학교(소계), 초등학교(소계), 초등학교(소계), 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 중학교(소계)  , 고등학교(소계), 고등학교(소계), 고등학교(소계), 고등학교(소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년미만_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학(4년제이상_소계), 대학원(소계), 대학원(소계), 대학원(소계), 대학원(소계), 기타, 미상,
범죄, 범죄, 불취학, 초등학교(소계), 재중, 중퇴, 졸업, 중학교(소계)  , 재중, 중퇴, 졸업, 고등학교(소계), 재중, 중퇴, 졸업, 대학(4년미만_소계), 재중, 중퇴, 졸업, 대학(4년제이상_소계), 재중, 중퇴, 졸업, 대학원(소계), 재중, 중퇴, 졸업, 기타, 미상, 불취학, 초등학교(소계), 재중, 중퇴, 졸업, 중학교(소계)  , 재중, 중퇴, 졸업, 고등학교(소계), 재중, 중퇴, 졸업, 대학(4년미만_소계), 재중, 중퇴, 졸업, 대학(4년제이상_소계), 재중, 중퇴, 졸업, 대학원(소계), 재중, 중퇴, 졸업, 기타, 미상, 불취학, 초등학교(소계), 재중, 중퇴, 졸업, 중학교(소계)  , 재중, 중퇴, 졸업, 고등학교(소계), 재중, 중퇴, 졸업, 대학(4년미만_소계), 재중, 중퇴, 졸업, 대학(4년제이상_소계), 재중, 중퇴, 졸업, 대학원(소계), 재중, 중퇴, 졸업, 기타, 미상, 불취학, 초등학교(소계), 재중, 중퇴, 졸업, 중학교(소계)  , 재중, 중퇴, 졸업, 고등학교(소계), 재중, 중퇴, 졸업, 대학(4년미만_소계), 재중, 중퇴, 졸업, 대학(4년제이상_소계), 재중, 중퇴, 졸업, 대학원(소계), 재중, 중퇴, 졸업, 기타, 미상
강력범죄, 강력범죄(소계), 152, 1273, 10, 295, 968, 2839, 483, 838, 1518, 9581, 1329, 1529, 6723, 1133, 171, 172, 790, 3118, 735, 378, 2005, 484, , , , 880, 5886, 170, 1316, 12, 306, 998, 2720, 620, 727, 1373, 9014, 1549, 1316, 6149, 1102, 147, 148, 807, 3382, 922, 438, 2022, 461, 125, 38, 298, 514, 5110, 221, 1506, 3, 339, 1164, 2892, 545, 764, 1583, 9321, 1255, 1285, 6781, 1366, 183, 182, 1001, 4154, 971, 574, 2609, 602, 166, 46, 390, 381, 4908, 184, 1539, 2, 368, 1169, 2688, 480, 638, 1570, 9222, 1123, 1122, 6977, 1431, 174, 180, 1077, 4517, 1051, 576, 2890, 682, 150, 56, 476, 356, 4446,
강력범죄, 살인(기수), 4, 44, 0, 7, 37, 58, 1, 19, 38, 160, 5, 21, 134, 20, 1, 4, 15, 29, 5, 7, 17, 8, , , , 18, 108, 5, 50, 0, 14, 36, 46, 1, 12, 33, 180, 5, 32, 143, 19, 2, 4, 13, 37, 7, 6, 24, 4, 0, 0, 4, 12, 93, 9, 47, 0, 11, 36, 38, 0, 11, 27, 129, 2, 17, 110, 20, 0, 5, 15, 35, 5, 7, 23, 6, 1, 1, 4, 5, 88, 6, 44, 0, 12, 32, 46, 2, 15, 29, 151, 5, 19, 127, 21, 0, 1, 20, 42, 4, 11, 27, 4, 2, 0, 2, 1, 132,
강력범죄, 살인(미수등), 13, 87, 0, 23, 64, 119, 0, 39, 80, 337, 3, 45, 289, 30, 0, 7, 23, 59, 10, 15, 34, 14, , , , 53, 124, 9, 57, 0, 19, 38, 109, 0, 35, 74, 261, 6, 52, 203, 17, 1, 3, 13, 55, 2, 16, 37, 1, 0, 0, 1, 18, 83, 15, 82, 0, 27, 55, 121, 5, 29, 87, 219, 10, 32, 177, 32, 1, 7, 24, 47, 8, 10, 29, 2, 1, 1, 0, 13, 89, 10, 71, 0, 23, 48, 108, 0, 32, 76, 204, 3, 30, 171, 20, 0, 2, 18, 49, 7, 13, 29, 3, 0, 0, 3, 15, 95,
강력범죄, 강도, 22, 186, 3, 45, 138, 851, 125, 329, 397, 2462, 367, 621, 1474, 168, 38, 43, 87, 340, 91, 78, 171, 51, , , , 204, 606, 11, 145, 0, 37, 108, 561, 88, 229, 244, 1742, 347, 438, 957, 104, 21, 22, 61, 245, 75, 64, 106, 30, 16, 5, 9, 107, 377, 10, 97, 0, 16, 81, 541, 99, 221, 221, 1213, 154, 315, 744, 105, 15, 24, 66, 228, 67, 58, 103, 23, 8, 4, 11, 42, 334, 16, 86, 0, 26, 60, 346, 50, 137, 159, 1066, 144, 230, 692, 108, 18, 23, 67, 174, 37, 56, 81, 12, 3, 5, 4, 18, 252,
강력범죄, 강간·강제추행, 89, 804, 4, 181, 619, 1535, 300, 373, 862, 5994, 890, 752, 4352, 873, 128, 114, 631, 2587, 610, 261, 1716, 400, , , , 539, 4831, 128, 907, 8, 196, 703, 1762, 441, 406, 915, 6200, 1118, 720, 4362, 916, 118, 111, 687, 2944, 815, 331, 1798, 420, 109, 31, 280, 335, 4400, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
강력범죄, 강간, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 45, 236, 0, 55, 181, 536, 111, 161, 264, 2112, 378, 326, 1408, 319, 65, 44, 210, 885, 295, 129, 461, 114, 38, 8, 68, 62, 1547, 24, 224, 2, 56, 166, 520, 119, 133, 268, 1982, 332, 317, 1333, 335, 54, 49, 232, 855, 288, 135, 432, 108, 32, 10, 66, 61, 1408,
