범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계,
범죄, 범죄, 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계),
범죄, 범죄, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상
강력범죄, 강력범죄(소계), 24210, 16596, 124, 62, 251, 7177, , 1136, 903, 39, 3, 30, 160, 1, , 22819, 10749, 111, 57, 282, 7230, 4390, 970, 552, 21, 2, 29, 175, 0, 191, 24433, 11865, 144, 65, 359, 8160, 3840, 918, 521, 16, 4, 31, 167, 0, 179, 24183, 11591, 154, 66, 382, 8596, 3394, 882, 464, 20, 1, 31, 154, 0, 212,
강력범죄, 살인(기수), 367, 224, 11, 0, 15, 117, , 82, 62, 5, 0, 6, 9, 0, , 345, 153, 7, 0, 11, 115, 59, 101, 56, 5, 1, 5, 17, 0, 17, 300, 148, 8, 1, 5, 92, 46, 77, 39, 3, 0, 4, 9, 0, 22, 342, 138, 17, 2, 14, 93, 78, 105, 64, 1, 0, 6, 8, 0, 26,
강력범죄, 살인(미수등), 750, 361, 19, 4, 18, 348, , 86, 47, 11, 1, 5, 22, 0, , 542, 210, 15, 0, 14, 268, 35, 68, 24, 2, 1, 4, 22, 0, 15, 559, 238, 15, 0, 12, 258, 36, 61, 23, 6, 1, 4, 11, 0, 16, 512, 201, 8, 0, 9, 239, 55, 63, 26, 1, 0, 6, 16, 0, 14,
강력범죄, 강도, 4380, 3662, 17, 5, 26, 670, , 510, 479, 4, 1, 3, 22, 1, , 3061, 2310, 10, 3, 26, 502, 210, 261, 203, 3, 0, 3, 14, 0, 38, 2354, 1747, 11, 3, 13, 389, 191, 239, 187, 0, 0, 4, 17, 0, 31, 1894, 1400, 10, 4, 20, 318, 142, 184, 137, 3, 0, 5, 6, 0, 33,
강력범죄, 강간·강제추행, 17388, 11671, 48, 50, 142, 5477, , 264, 222, 1, 0, 0, 41, 0, , 17641, 7545, 60, 51, 194, 5801, 3990, 371, 199, 0, 0, 1, 61, 0, 110, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
강력범죄, 강간, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5764, 2645, 5, 6, 29, 1692, 1387, 92, 67, 0, 0, 1, 9, 0, 15, 5446, 2475, 8, 3, 34, 1653, 1273, 71, 48, 0, 0, 0, 8, 0, 15,
